1.46,0.993868,1.99387,0.987774
1.47,0.994924,1.99492,0.989874
1.48,0.995881,1.99588,0.991779
1.49,0.996738,1.99674,0.993486
1.5,0.997495,1.99749,0.994996
1.51,0.998152,1.99815,0.996308
1.52,0.99871,1.99871,0.997422
1.53,0.999168,1.99917,0.998337
1.54,0.999526,1.99953,0.999052
1.55,0.999784,1.99978,0.999568
1.56,0.999942,1.99994,0.999883
1.57,1,2,0.999999
1.58,0.999958,1.99996,0.999915
1.59,0.999816,1.99982,0.999631
1.6,0.999574,1.99957,0.999147
1.61,0.999232,1.99923,0.998464
1.62,0.99879,1.99879,0.997581
1.63,0.998248,1.99825,0.996499
1.64,0.997606,1.99761,0.995219
1.65,0.996865,1.99687,0.99374
1.66,0.996024,1.99602,0.992064
1.67,0.995083,1.99508,0.990191
1.68,0.994043,1.99404,0.988122
1.69,0.992904,1.9929,0.985858
1.7,0.991665,1.99166,0.983399
1.71,0.990327,1.99033,0.980747
1.72,0.98889,1.98889,0.977903
1.73,0.987354,1.98735,0.974868
1.74,0.985719,1.98572,0.971642
1.75,0.983986,1.98399,0.968228
1.76,0.982154,1.98215,0.964627
1.77,0.980224,1.98022,0.96084
1.78,0.978197,1.9782,0.956869
1.79,0.976071,1.97607,0.952715
1.8,0.973848,1.97385,0.948379
1.81,0.971527,1.97153,0.943865
1.82,0.969109,1.96911,0.939173
1.83,0.966594,1.96659,0.934305
1.84,0.963983,1.96398,0.929263
1.85,0.961275,1.96128,0.92405
1.86,0.958471,1.95847,0.918667
1.87,0.955572,1.95557,0.913117
1.88,0.952576,1.95258,0.907401
1.89,0.949486,1.94949,0.901523
1.9,0.9463,1.9463,0.895484
1.91,0.94302,1.94302,0.889287
1.92,0.939645,1.93965,0.882934
1.93,0.936177,1.93618,0.876428
1.94,0.932615,1.93262,0.869771
1.95,0.92896,1.92896,0.862966
1.96,0.925211,1.92521,0.856016
1.97,0.921371,1.92137,0.848924
1.98,0.917438,1.91744,0.841692
1.99,0.913413,1.91341,0.834324
2,0.909297,1.9093,0.826822
2.01,0.905091,1.90509,0.819189
2.02,0.900793,1.90079,0.811428
2.03,0.896406,1.89641,0.803543
2.04,0.891929,1.89193,0.795537
2.05,0.887362,1.88736,0.787412
2.06,0.882707,1.88271,0.779172
2.07,0.877964,1.87796,0.770821
2.08,0.873133,1.87313,0.762361
2.09,0.868215,1.86821,0.753797
2.1,0.863209,1.86321,0.745131
2.11,0.858118,1.85812,0.736366
2.12,0.852941,1.85294,0.727508
2.13,0.847678,1.84768,0.718558
2.14,0.84233,1.84233,0.709521
2.15,0.836899,1.8369,0.7004
2.16,0.831383,1.83138,0.691198
2.17,0.825785,1.82578,0.681921
2.18,0.820104,1.8201,0.67257
2.19,0.814341,1.81434,0.663151
2.2,0.808496,1.8085,0.653666
2.21,0.802571,1.80257,0.64412
2.22,0.796565,1.79657,0.634517
2.23,0.79048,1.79048,0.624859
2.24,0.784316,1.78432,0.615152
2.25,0.778073,1.77807,0.605398
2.26,0.771753,1.77175,0.595602
2.27,0.765355,1.76535,0.585768
2.28,0.758881,1.75888,0.5759
2.29,0.752331,1.75233,0.566001
2.3,0.745705,1.74571,0.556076
2.31,0.739005,1.73901,0.546129
2.32,0.732231,1.73223,0.536163
2.33,0.725384,1.72538,0.526183
2.34,0.718465,1.71846,0.516192
2.35,0.711473,1.71147,0.506194
2.36,0.704411,1.70441,0.496195
2.37,0.697278,1.69728,0.486196
2.38,0.690075,1.69007,0.476203
2.39,0.682803,1.6828,0.46622
2.4,0.675463,1.67546,0.45625
2.41,0.668056,1.66806,0.446298
2.42,0.660581,1.66058,0.436367
2.43,0.653041,1.65304,0.426462
2.44,0.645435,1.64543,0.416586
2.45,0.637765,1.63776,0.406744
2.46,0.630031,1.63003,0.396939
2.47,0.622234,1.62223,0.387175
2.48,0.614374,1.61437,0.377456
2.49,0.606454,1.60645,0.367786
2.5,0.598472,1.59847,0.358169
2.51,0.590431,1.59043,0.348609
2.52,0.582331,1.58233,0.339109
2.53,0.574172,1.57417,0.329674
2.54,0.565956,1.56596,0.320306
2.55,0.557684,1.55768,0.311011
2.56,0.549356,1.54936,0.301791
2.57,0.540972,1.54097,0.292651
2.58,0.532535,1.53253,0.283593
2.59,0.524044,1.52404,0.274623
2.6,0.515501,1.5155,0.265742
2.61,0.506907,1.50691,0.256955
2.62,0.498262,1.49826,0.248265
2.63,0.489567,1.48957,0.239675
2.64,0.480823,1.48082,0.23119
2.65,0.47203,1.47203,0.222813
2.66,0.463191,1.46319,0.214546
2.67,0.454306,1.45431,0.206394
2.68,0.445375,1.44537,0.198359
2.69,0.436399,1.4364,0.190444
2.7,0.42738,1.42738,0.182654
2.71,0.418318,1.41832,0.17499
2.72,0.409214,1.40921,0.167456
2.73,0.400069,1.40007,0.160056
2.74,0.390885,1.39088,0.152791
2.75,0.381661,1.38166,0.145665
2.76,0.372399,1.3724,0.138681
2.77,0.3631,1.3631,0.131842
2.78,0.353764,1.35376,0.125149
2.79,0.344393,1.34439,0.118607
2.8,0.334988,1.33499,0.112217
2.81,0.325549,1.32555,0.105982
2.82,0.316078,1.31608,0.0999053
2.83,0.306575,1.30658,0.0939883
2.84,0.297041,1.29704,0.0882336
2.85,0.287478,1.28748,0.0826437
2.86,0.277886,1.27789,0.0772206
2.87,0.268266,1.26827,0.0719667
2.88,0.258619,1.25862,0.0668839
2.89,0.248947,1.24895,0.0619745
2.9,0.239249,1.23925,0.0572402
2.91,0.229528,1.22953,0.052683
2.92,0.219784,1.21978,0.0483048
2.93,0.210017,1.21002,0.0441072
2.94,0.20023,1.20023,0.040092
2.95,0.190423,1.19042,0.0362608
2.96,0.180596,1.1806,0.032615
2.97,0.170752,1.17075,0.0291562
2.98,0.16089,1.16089,0.0258857
2.99,0.151013,1.15101,0.0228048
3,0.14112,1.14112,0.0199149
3.01,0.131213,1.13121,0.0172169
3.02,0.121293,1.12129,0.0147121
3.03,0.111361,1.11136,0.0124013
3.04,0.101418,1.10142,0.0102856
3.05,0.0914647,1.09146,0.00836579
3.06,0.0815022,1.0815,0.00664261
3.07,0.0715316,1.07153,0.00511677
3.08,0.0615538,1.06155,0.00378887
3.09,0.0515699,1.05157,0.00265945
3.1,0.0415808,1.04158,0.00172896
3.11,0.0315875,1.03159,0.00099777
